song,artist,price,downloads,total_amount,month,year,company
Nitwenda Naboth,Ampumuza Nuhu,700,3,2100,November,2021,MTN
Njiira Love,Sama Sojah ft Sheebah,700,3,2100,November,2021,MTN
Guba Guluma,Bettina Namukasa,700,3,2100,November,2021,MTN
Gundeeze,King Saha,700,3,2100,November,2021,MTN
Ssala Pulesa,King Saha,700,3,2100,November,2021,MTN
Gwe Wekka,Apostle Jonathan,700,3,2100,November,2021,MTN
Fire Governor,Jacob Faya,700,3,2100,November,2021,MTN
Gwemanyi Gange,Sasha Brighton,700,3,2100,November,2021,MTN
Musaayi,Don Andrea,700,3,2100,November,2021,MTN
Nawumula,Sasha Brighton,700,3,2100,November,2021,MTN
Tuze kusinza,Hadijah Birungi Paul,700,3,2100,November,2021,MTN
Serona Htl,Don Andrea,700,3,2100,November,2021,MTN
African Gal,Jowy Landa,700,3,2100,November,2021,MTN
Ekyamagero,Irene Kisakye,700,3,2100,November,2021,MTN
Maama Wange,Ykee Benda,700,3,2100,November,2021,MTN
Nkwenda,Victor Ruz,700,3,2100,November,2021,MTN
Malaika,Ykee Benda,700,3,2100,November,2021,MTN
Akagato,Alex Poper,700,3,2100,November,2021,MTN
Lowoza Kunze,Rhoda K,700,3,2100,November,2021,MTN
Ndibaho,Jessy Nector,700,3,2100,November,2021,MTN
Necklace,Betina Namukasa,700,3,2100,November,2021,MTN
Ibi Para,Okeng Born  Town and Mr Dee,700,3,2100,November,2021,MTN
Baveeko,TR Henry,35,3,105,November,2021,MTN
Single mothers,Jemimah Namatovu,700,3,2100,November,2021,MTN
One For The Road,Bruno K,700,3,2100,November,2021,MTN
Superman,Ykee Benda,700,3,2100,November,2021,MTN
Omutindo,Sophie Nantongo,700,3,2100,November,2021,MTN
Tujanjawaze,Stabua Natoro,700,3,2100,November,2021,MTN
Letter Writting,Pablo,700,3,2100,November,2021,MTN
Gyangu Gyendi,Sophie Gombya and Sam Gombya,700,3,2100,November,2021,MTN
Claire,Ronald Mayinja and Gravity,700,3,2100,November,2021,MTN
Ensi Siyakulekaana,Harriet Kisakye,700,3,2100,November,2021,MTN
Service rmx,Harriet Kisakye,700,3,2100,November,2021,MTN
Obubenje,fred ssebata,700,3,2100,November,2021,MTN
Galayi,City Don,700,3,2100,November,2021,MTN
Nkwagala,Radio Mozey,700,3,2100,November,2021,MTN
Ffe Tuliko,Pallaso,700,3,2100,November,2021,MTN
Love Ye Kimemette,Mary Bata Namakula,700,3,2100,November,2021,MTN
Hug,Mary Bata Namakula,700,3,2100,November,2021,MTN
Wololo,Pallaso,700,3,2100,November,2021,MTN
Abaikiriza Tuse,Rayz Pro ft Ruteganya,700,3,2100,November,2021,MTN
Kadodi 1,Iddie Masaba,700,3,2100,November,2021,MTN
BWOGUMALAKO OMWAKA ,PASTOR KIGANDA LIVINGSTONE,700,3,2100,November,2021,MTN
Mukama,Radio and Weasle,700,3,2100,November,2021,MTN
Musomesa,Jamal,700,3,2100,November,2021,MTN
Switch,Martin angume,700,3,2100,November,2021,MTN
Abalongo twabazaala babiri,VIP Africa,700,3,2100,November,2021,MTN
Anonya Mukwano Accapela,Jessica Nanusoke Golden Gate Choir,700,3,2100,November,2021,MTN
GWANGA MUJJE,FRED SSEBATTA,700,3,2100,November,2021,MTN
Wansumulula,Sophie Nantongo,700,3,2100,November,2021,MTN
Ogumanga,Evelyn Lagu,700,3,2100,November,2021,MTN
Ladwana,Maria A,700,2,1400,November,2021,MTN
Leb luo kur,Okeng Born Town and Proffesa Wokos,700,2,1400,November,2021,MTN
My Love,Okeng Born Town,700,2,1400,November,2021,MTN
Ekisa Kyamukama,Lord Wise,700,2,1400,November,2021,MTN
Kiyuzi,Sunday Lubale,700,2,1400,November,2021,MTN
Rukundo Omubuhikire,Wak,700,2,1400,November,2021,MTN
Tonkooya,Karo Sovie ft Lil Pazo,700,2,1400,November,2021,MTN
Tukole Namanyi,Balomy Treable,700,2,1400,November,2021,MTN
Slowly Baby,Fille,700,2,1400,November,2021,MTN
Bwagamba nti Yye,Mirembe Gertrude,700,2,1400,November,2021,MTN
Stress,Jack P,700,2,1400,November,2021,MTN
Ebilowozo,Nina Roz,700,2,1400,November,2021,MTN
Ani Oyo,Minominah,700,2,1400,November,2021,MTN
Kajiiko Nattabula,Sofia Nantongo,700,2,1400,November,2021,MTN
Kweraga,Stabua  Natooro,700,2,1400,November,2021,MTN
Obuyinza,fred ssebatta,700,2,1400,November,2021,MTN
Ku Mabali Gomugga,Judith Babirye,700,2,1400,November,2021,MTN
Kweeraga,Stabua Natooro,700,2,1400,November,2021,MTN
Mpulunguse,Diana Nalubega,700,2,1400,November,2021,MTN
Waliwo Ekibanja,Mary Bata,700,2,1400,November,2021,MTN
